profile,POSIX_OPENS,POSIX_READS,POSIX_WRITES,POSIX_SEEKS,POSIX_MMAPS,POSIX_FSYNCS,POSIX_BYTES_READ,POSIX_BYTES_WRITTEN,POSIX_CONSEC_READS,POSIX_CONSEC_WRITES,POSIX_SEQ_READS,POSIX_SEQ_WRITES,POSIX_RW_SWITCHES,POSIX_MEM_ALIGNMENT,POSIX_FILE_NOT_ALIGNED,POSIX_FILE_ALIGNMENT,POSIX_MAX_READ_TIME_SIZE,POSIX_MAX_WRITE_TIME_SIZE,POSIX_SIZE_READ_100_1K,POSIX_SIZE_READ_1K_10K,POSIX_SIZE_READ_10K_100K,POSIX_SIZE_READ_4M_10M,POSIX_SIZE_WRITE_100_1K,POSIX_SIZE_WRITE_1K_10K,POSIX_SIZE_WRITE_10K_100K,POSIX_SIZE_WRITE_4M_10M,POSIX_STRIDE1_STRIDE,POSIX_STRIDE2_STRIDE,POSIX_STRIDE3_STRIDE,POSIX_STRIDE4_STRIDE,POSIX_STRIDE1_COUNT,POSIX_STRIDE2_COUNT,POSIX_STRIDE3_COUNT,POSIX_STRIDE4_COUNT,POSIX_F_READ_TIME,POSIX_F_WRITE_TIME,POSIX_F_META_TIME,POSIX_F_MAX_READ_TIME,POSIX_F_MAX_WRITE_TIME,POSIX_OPEN_DURATION,POSIX_READ_DURATION,POSIX_WRITE_DURATION,POSIX_CLOSE_DURATION,POSIX_READ_DENSITY,POSIX_WRITE_DENSITY,POSIX_MEAN_READ_SIZE,POSIX_MEAN_WRITE_SIZE,POSIX_SEQ_READ_RATIO,POSIX_SEQ_WRITE_RATIO,POSIX_SEEK_RATE
large_io,1.0,50.0,50.0,100.0,-1.0,1.0,524288000.0,524288000.0,49.0,49.0,49.0,49.0,1.0,8.0,0.0,524288.0,10485760.0,10485760.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81009202003479,1.8984254360198975,0.0030161857604980202,0.0370547771453857,0.044554233551025356,0.0011688709259033401,1.8104010581970216,1.8427395820617676,0.00171527862548837,289599747.61005527,284530015.3667529,10485760.0,10485760.0,0.9800000000000001,0.9800000000000001,1.0
metadata_heavy,1000.0,0.0,1000.0,0.0,-1000.0,1000.0,0.0,4096000.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,524288.0,0.0,4096.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.626173877716065,0.9055475234985352,0.0,5.388259887695313e-06,12.084950971603394,0.0,12.084142923355103,12.077504587173461,,340527.8059651224,,4096.0,,0.0,0.0
mixed_rw,1.0,5000.0,5000.0,10000.0,-1.0,1.0,327680000.0,327680000.0,4999.0,4999.0,4999.0,4999.0,7.0,8.0,8750.0,524288.0,65536.0,65536.0,0.0,0.0,5000.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3349389553070068,1.3706533908843994,0.00397758483886714,0.0036835193634032802,0.0041751384735106995,0.0015361785888671601,2.3339126110076904,2.334509754180908,0.0010402679443359375,140435586.22651285,140392070.48140678,65536.0,65536.0,0.9998000000000001,0.9998000000000001,1.0
random_read,1.0,10000.0,0.0,10000.0,-1.0,1.0,40960000.0,0.0,1.0,0.0,5000.0,0.0,0.0,8.0,9921.0,524288.0,4096.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,8873574.4,16040755.2,9494528.0,9877913.6,4.0,2.8,2.8,2.6,1.3534437656402587,0.01852760314941402,0.00338578224182126,0.00299220085144038,0.0,0.0006175994873046999,1.358374786376953,0.0,0.0013950824737549716,30615852.001663953,,4096.0,,0.5,,1.0
random_write,1.0,0.0,10000.0,10000.0,-1.0,1.0,0.0,40960000.0,0.0,0.8,0.0,5001.6,0.0,8.0,9916.2,524288.0,0.0,4096.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,13753548.8,12804915.2,5061836.8,13152256.0,3.6,3.2,3.0,2.6,0.0,2.6623257637023925,0.0037423610687255596,0.0,0.02059297561645504,0.00113596916198728,0.0,2.6357209205627443,0.0010845661163330078,,15892195.338540867,,4096.0,,0.5001599999999999,1.0
read_heavy,1.0,10000.0,0.0,10000.0,-1.0,1.0,655360000.0,0.0,9999.0,0.0,9999.0,0.0,0.0,8.0,8750.0,524288.0,65536.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.570391893386841,0.015499210357665938,0.00303692817687984,0.00404391288757318,0.0,0.00050306320190426,2.5743175506591798,0.0,0.0011169433593751776,254740458.11885247,,65536.0,,0.9999,,1.0
small_io,1.0,25000.0,25000.0,50000.0,-1.0,1.0,12800000.0,12800000.0,0.8,0.2,12513.4,12499.2,1.0,8.0,49946.8,524288.0,512.0,512.0,25000.0,0.0,0.0,0.0,25000.0,0.0,0.0,0.0,6114816.0,6409830.4,5262643.2,2669977.6,4.4,3.2,3.0,3.0,2.8820343971252442,17.27944107055664,0.02057209014892572,0.0024981498718261398,0.1260626316070556,0.0012142181396484599,2.9095860004425043,17.295747470855712,0.0011357307434085584,4489319.138266171,961173.5546847781,512.0,512.0,0.500536,0.49996799999999997,1.0
strided_read,1.0,10000.0,0.0,10000.0,-1.0,1.0,655360000.0,0.0,0.0,0.0,9992.0,0.0,0.0,8.0,0.0,524288.0,65536.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,458752.0,0.0,0.0,0.0,9992.0,0.0,0.0,0.0,13.102248859405517,0.01480765342712396,0.0052637100219726,0.00378885269165034,0.0,0.0004022598266601199,13.111662197113038,0.0,0.0023897171020500706,49987677.9832558,,65536.0,,0.9991999999999999,,1.0
strided_write,1.0,0.0,10000.0,10000.0,-1.0,1.0,0.0,655360000.0,0.0,0.0,0.0,9992.0,0.0,8.0,0.0,524288.0,0.0,65536.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,458752.0,0.0,0.0,0.0,9992.0,0.0,0.0,0.0,0.0,7.385966634750366,0.00702600479125972,0.0,0.030190610885620063,0.00118641853332518,0.0,7.370814275741577,0.0016834259033208453,,97837096.54217878,,65536.0,,0.9991999999999999,1.0
sync_heavy,1.0,0.0,10000.0,10000.0,-1.0,10001.0,0.0,655360000.0,0.0,9999.0,0.0,9999.0,0.0,8.0,8750.0,524288.0,0.0,65536.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.28097777366638,0.00712537765502926,0.0,0.01051788330078122,0.00109181404113772,0.0,74.29132013320923,0.0014324665069580078,,8822974.988118943,,65536.0,,0.9999,1.0
write_heavy,1.0,0.0,10000.0,10000.0,-1.0,1.0,0.0,655360000.0,0.0,9999.0,0.0,9999.0,0.0,8.0,8750.0,524288.0,0.0,65536.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7072816371917723,0.0040455818176269,0.0,0.009025192260742141,0.0014648437500000202,0.0,2.6494943618774416,0.0013069629669188565,,247362456.9096908,,65536.0,,0.9999,1.0
